legacy_task_id,artifact_type,file_path,short_description,related_R1_tasks,reuse_priority,caveat,evidence_source
task1,log,results/legacy_L0/by_task/task1_dense_int8_log.txt,Dense INT8 BFA attack with 50 flips (92.46%→10.00%),R1_T06;R1_T07,High,Dense model semantics differ from sparse-gated R1,Log file shows traditional BFA pattern
task1,pkl,results/legacy_L0/by_date/task1_dense_int8_result.pkl,Raw result data for Task1 dense attack,R1_T07,Medium,May need parsing script update,File in by_date directory
task2,log,results/legacy_L0/by_task/task2_sparse_dense_zero_log.txt,Zero-only attack (92.10%→12.43%),R1_T06;R1_T07,High,Possible semantic discrepancy - legacy more effective than R1,Log shows significant accuracy drop
task2,pkl,results/legacy_L0/by_date/task2_sparse_dense_zero_result.pkl,Raw zero-only attack data,R1_T06,Medium,Different forward semantics possible,File in by_date directory
task3,log,results/legacy_L0/by_task/task3_sparse_dense_nonzero_log.txt,Non-zero-only attack (92.10%→10.00%),R1_T06;R1_T07,High,Matches R1 expectation for nonzero mode,Log shows effectiveness
task3,pkl,results/legacy_L0/by_date/task3_sparse_dense_nonzero_result.pkl,Raw nonzero-only attack data,R1_T06,Medium,Legacy semantics may differ,File in by_date directory
task4,log,results/legacy_L0/by_task/task4_sparse_csr_index_log.txt,CSR collision-allowed attack (86.54%→53.94%),R1_T01;R1_T02,Medium,CSR encoding differs from 2:4 position,Log shows accuracy increases
task4,pkl,results/legacy_L0/by_date/task4_sparse_csr_index_result.pkl,Raw CSR attack data,R1_T01,Low,Different encoding scheme,File in by_date directory
task5,log,results/legacy_L0/by_task/task5_csr_non_collision_log.txt,CSR NCSA attack (92.10%→11.10%),R1_T01;R1_T02,High,NCSA effectiveness reference,Log shows strong results
task5,pkl,results/legacy_L0/by_date/task5_csr_non_collision_result.pkl,Raw NCSA attack data,R1_T02,Medium,Different group encoding,File in by_date directory
task10,log,results/legacy_L0/by_task/task10_flip_outcome_log.txt,Flip outcome taxonomy (rewire/delete/merge),All R1 metadata,Medium,CSR-specific taxonomy,Log defines outcome categories
task10,pkl,results/legacy_L0/by_task/task10_flip_outcome_summary.pkl,Flip outcome summary data,R1_T01,Low,Needs adaptation for 2:4,File in by_task directory
task11,log,results/legacy_L0/by_task/task11_defense_log.txt,Metadata defense (parity/CRC),All R1,Low,Defense context not attack,Log shows defense mechanisms
task11,pkl,results/legacy_L0/by_task/task11_defense_result.pkl,Defense result data,Low,Not directly relevant,File in by_task directory
task18,log,results/legacy_L0/by_task/task18_bitmask_validity_log.txt,Bitmask 1-bit flip validity (0% valid),R1_T03;R1_T04,High,Justifies cost-2 approach,Log proves single-bit invalid
task18,csv,results/legacy_L0/by_task/task18_bitmask_validity_summary.csv,Bitmask validity summary table,R1_T03,Medium,Summary format only,File in by_task directory
task20,log,results/legacy_L0/by_task/task20_bitmask_swap_log.txt,Cost-2 swap attack (86.57%→35.50%),R1_T03,High,Direct predecessor,Log shows swap semantics
